frame,time_sec,target_finger,has_hand,tip_x,tip_y,mcp_x,mcp_y,wrist_x,wrist_y,ry,is_hit
0,0.03,RING,0,,,,,,,,0
1,0.064,RING,0,,,,,,,,0
2,0.096,RING,0,,,,,,,,0
3,0.126,RING,0,,,,,,,,0
4,0.16,RING,0,,,,,,,,0
5,0.194,RING,0,,,,,,,,0
6,0.231,RING,0,,,,,,,,0
7,0.262,RING,0,,,,,,,,0
8,0.293,RING,0,,,,,,,,0
9,0.326,RING,0,,,,,,,,0
10,0.361,RING,0,,,,,,,,0
11,0.397,RING,0,,,,,,,,0
12,0.428,RING,0,,,,,,,,0
13,0.459,RING,0,,,,,,,,0
14,0.493,RING,0,,,,,,,,0
15,0.528,RING,0,,,,,,,,0
16,0.564,RING,0,,,,,,,,0
17,0.595,RING,0,,,,,,,,0
18,0.626,RING,0,,,,,,,,0
19,0.66,RING,0,,,,,,,,0
20,0.695,RING,0,,,,,,,,0
21,0.731,RING,0,,,,,,,,0
22,0.762,RING,0,,,,,,,,0
23,0.793,RING,0,,,,,,,,0
24,0.827,RING,0,,,,,,,,0
25,0.862,RING,0,,,,,,,,0
26,0.898,RING,0,,,,,,,,0
27,0.929,RING,0,,,,,,,,0
28,0.959,RING,0,,,,,,,,0
29,0.993,RING,0,,,,,,,,0
30,1.028,RING,0,,,,,,,,0
31,1.064,RING,0,,,,,,,,0
32,1.096,RING,0,,,,,,,,0
33,1.126,RING,0,,,,,,,,0
34,1.16,RING,0,,,,,,,,0
35,1.195,RING,0,,,,,,,,0
36,1.231,RING,0,,,,,,,,0
37,1.263,RING,0,,,,,,,,0
38,1.293,RING,0,,,,,,,,0
39,1.327,RING,0,,,,,,,,0
40,1.362,RING,0,,,,,,,,0
41,1.398,RING,0,,,,,,,,0
42,1.429,RING,0,,,,,,,,0
43,1.46,RING,0,,,,,,,,0
44,1.494,RING,0,,,,,,,,0
45,1.529,RING,0,,,,,,,,0
46,1.566,RING,0,,,,,,,,0
47,1.597,RING,0,,,,,,,,0
48,1.627,RING,0,,,,,,,,0
49,1.662,RING,0,,,,,,,,0
50,1.696,RING,0,,,,,,,,0
51,1.733,RING,0,,,,,,,,0
52,1.765,RING,0,,,,,,,,0
53,1.794,RING,0,,,,,,,,0
54,1.828,RING,0,,,,,,,,0
55,1.863,RING,0,,,,,,,,0
56,1.899,RING,0,,,,,,,,0
57,1.931,RING,0,,,,,,,,0
58,1.961,RING,0,,,,,,,,0
59,1.995,RING,0,,,,,,,,0
60,2.03,RING,0,,,,,,,,0
61,2.067,RING,0,,,,,,,,0
62,2.097,RING,0,,,,,,,,0
63,2.161,RING,0,,,,,,,,0
64,2.197,RING,0,,,,,,,,0
65,2.23,RING,0,,,,,,,,0
66,2.26,RING,0,,,,,,,,0
67,2.295,RING,0,,,,,,,,0
68,2.329,RING,0,,,,,,,,0
69,2.38,RING,0,,,,,,,,0
70,2.395,RING,0,,,,,,,,0
71,2.427,RING,0,,,,,,,,0
72,2.454,RING,0,,,,,,,,0
73,2.489,RING,0,,,,,,,,0
74,2.523,RING,0,,,,,,,,0
75,2.557,RING,0,,,,,,,,0
76,2.592,RING,0,,,,,,,,0
77,2.627,RING,0,,,,,,,,0
78,2.665,RING,0,,,,,,,,0
79,2.696,RING,0,,,,,,,,0
80,2.727,RING,0,,,,,,,,0
81,2.761,RING,0,,,,,,,,0
82,2.796,RING,0,,,,,,,,0
83,2.832,RING,0,,,,,,,,0
84,2.863,RING,0,,,,,,,,0
85,2.893,RING,0,,,,,,,,0
86,2.927,RING,0,,,,,,,,0
87,2.963,RING,0,,,,,,,,0
88,2.999,RING,0,,,,,,,,0
89,3.03,RING,0,,,,,,,,0
90,3.06,RING,0,,,,,,,,0
91,3.094,RING,0,,,,,,,,0
92,3.13,RING,0,,,,,,,,0
93,3.165,RING,0,,,,,,,,0
94,3.196,RING,0,,,,,,,,0
95,3.227,RING,0,,,,,,,,0
96,3.261,RING,0,,,,,,,,0
97,3.296,RING,0,,,,,,,,0
98,3.332,RING,0,,,,,,,,0
99,3.363,RING,0,,,,,,,,0
100,3.394,RING,0,,,,,,,,0
101,3.427,RING,0,,,,,,,,0
102,3.462,RING,0,,,,,,,,0
103,3.513,RING,1,1201.7,-184.8,1160.4,9.6,1089.2,309.3,-0.6329,0
104,3.524,RING,1,1204.1,-147.5,1143.9,33.7,997.8,290.8,-0.8143,0
105,3.558,RING,1,1170.6,-94,1075.9,79.9,955.8,301.7,-0.8127,0
106,3.592,RING,1,1105.7,-47.6,1015.7,108.4,927.4,301.1,-0.8049,0
107,3.627,RING,1,1029.9,7,967.6,133.5,905.2,303.7,-0.7237,0
108,3.662,RING,1,971.2,51.6,932.7,149.6,893.0,308.3,-0.5889,0
109,3.698,RING,1,917.6,84.2,906.9,168.1,875.2,311.4,-0.5526,0
110,3.731,RING,1,886.6,99.7,886.5,179.8,867.7,316.9,-0.5366,0
111,3.758,RING,1,867.7,111,871.5,184.6,856.3,317.6,-0.5012,0
112,3.792,RING,1,848.7,119.4,858.2,187.6,850.5,318.3,-0.4712,0
113,3.827,RING,1,836.4,126.1,847.6,191,841.4,319.4,-0.4606,0
114,3.86,RING,1,825.1,132.8,839.1,193.6,834.8,319.8,-0.4389,0
115,3.896,RING,1,821.5,137.3,832.8,196.1,828.0,320.1,-0.4318,0
116,3.933,RING,1,818.2,142.4,829.5,197.6,824.8,319.9,-0.4099,0
117,3.964,RING,1,816.0,145.2,826.3,198.3,821.5,318.6,-0.3998,0
118,3.992,RING,1,814.9,147,823.4,199.2,817.3,317.4,-0.4004,0
119,4.025,RING,1,813.8,148.7,821.4,199.8,813.7,314.9,-0.3967,0
120,4.06,RING,1,813.1,149.8,819.9,199.5,811.8,313.5,-0.3862,0
121,4.094,RING,1,812.4,150.4,818.9,199.3,811.9,314,-0.3773,0
122,4.13,RING,1,812.2,150.8,818.1,198.8,810.1,312.8,-0.3711,0
123,4.166,RING,1,812.3,151.6,817.6,198.7,809.3,313,-0.3641,0
124,4.197,RING,1,812.8,151.8,817.2,197.9,808.0,312.6,-0.353,0
125,4.225,RING,1,813.9,151.1,817.2,197.2,809.0,312.9,-0.3523,0
126,4.259,RING,1,815.6,149.8,817.2,196.1,809.1,312.1,-0.352,0
127,4.293,RING,1,816.6,148.5,817.5,195.4,807.6,310.1,-0.3604,0
128,4.328,RING,1,817.4,147,818.0,194.5,807.2,309.9,-0.365,0
129,4.363,RING,1,817.7,146.1,818.5,193.8,807.2,311.1,-0.3648,0
130,4.4,RING,1,818.5,145.6,819.3,193.8,807.7,311.5,-0.3709,0
